SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
355,20.48,40,10,none,7.5,400,4939,12.3475,274,257,0.937956,0.931915,0.913171,0.90398,0.89255,0.839936,0.784432,0.784432,0.784432,0.784432,0.326208
356,20.48,40,10,none,7.5,400,4624,11.56,204,189,0.926471,0.907814,0.875522,0.862934,0.843082,0.786305,0.727344,0.727344,0.727344,0.727344,0.326254
357,18.944,37,10,none,7.5,400,4734,11.835,179,163,0.910615,0.909965,0.893311,0.883242,0.866595,0.809935,0.74026,0.74026,0.74026,0.74026,0.326362
358,18.944,37,10,none,7.5,400,4605,11.5125,174,154,0.885057,0.892061,0.871173,0.849083,0.830803,0.779878,0.713798,0.713798,0.713798,0.713798,0.326358
359,16.384,32,10,none,7.5,400,4713,11.7825,182,173,0.950549,0.908312,0.894415,0.877511,0.855175,0.799642,0.726866,0.726866,0.726866,0.726866,0.326457
360,14.336,28,10,none,7.5,400,4955,12.3875,196,187,0.954082,0.939895,0.92311,0.914124,0.890827,0.835116,0.759038,0.759038,0.759038,0.759038,0.326432
361,14.336,28,10,none,7.5,400,4678,11.695,250,233,0.932,0.919689,0.894692,0.876971,0.840595,0.788434,0.712089,0.712089,0.712089,0.712089,0.326562
362,14.336,28,10,none,7.5,400,4872,12.18,246,237,0.963415,0.94322,0.915872,0.895586,0.863579,0.816187,0.744687,0.744687,0.744687,0.744687,0.326542
363,14.848,29,10,none,7.5,400,4745,11.8625,266,242,0.909774,0.898291,0.878748,0.869061,0.838912,0.790026,0.724038,0.724038,0.724038,0.724038,0.326628
364,16.384,32,10,none,7.5,400,4769,11.9225,318,300,0.943396,0.903945,0.886082,0.868852,0.840381,0.789712,0.729052,0.729052,0.729052,0.729052,0.326565
365,15.872,31,10,none,7.5,400,4714,11.785,288,265,0.920139,0.928094,0.895225,0.871774,0.840156,0.785043,0.724228,0.724228,0.724228,0.724228,0.326653
366,14.336,28,10,none,7.5,400,4821,12.0525,308,289,0.938312,0.91015,0.89207,0.879037,0.851351,0.802426,0.740781,0.740781,0.740781,0.740781,0.326606
367,14.336,28,10,none,7.5,400,4664,11.66,341,331,0.970674,0.905724,0.861451,0.842933,0.818923,0.772649,0.709677,0.709677,0.709677,0.709677,0.326639
368,14.336,28,10,none,7.5,400,4625,11.5625,356,325,0.912921,0.876761,0.850387,0.835808,0.809106,0.763294,0.702218,0.702218,0.702218,0.702218,0.326533
369,16.384,32,10,none,7.5,400,4849,12.1225,354,340,0.960452,0.90669,0.899831,0.878797,0.850184,0.798829,0.732688,0.732688,0.732688,0.732688,0.326568
370,14.848,29,10,none,7.5,400,4766,11.915,342,322,0.94152,0.897887,0.871656,0.857974,0.826397,0.776246,0.717837,0.717837,0.717837,0.717837,0.326478
371,16.384,32,10,none,7.5,400,4965,12.4125,356,332,0.932584,0.911304,0.883084,0.872141,0.846594,0.803644,0.743482,0.743482,0.743482,0.743482,0.326588
372,17.92,35,10,none,7.5,400,4862,12.155,364,337,0.925824,0.903748,0.87527,0.862565,0.8287,0.784763,0.726892,0.726892,0.726892,0.726892,0.326521
373,16.896,33,10,none,7.5,400,4979,12.4475,357,337,0.943978,0.926573,0.896522,0.88008,0.857679,0.80084,0.749022,0.749022,0.749022,0.749022,0.326567
374,18.944,37,10,none,7.5,400,4965,12.4125,338,331,0.97929,0.944444,0.915567,0.893101,0.866541,0.793287,0.740746,0.740746,0.740746,0.740746,0.326494
375,18.432,36,10,none,7.5,400,4889,12.2225,356,330,0.926966,0.900528,0.875865,0.866097,0.845458,0.777889,0.726516,0.726516,0.726516,0.726516,0.326545
376,18.432,36,10,none,7.5,400,4690,11.725,330,311,0.942424,0.905477,0.870419,0.843336,0.817304,0.749207,0.694461,0.694461,0.694461,0.694461,0.326591
377,20.48,40,10,none,7.5,400,5005,12.5125,330,321,0.972727,0.916211,0.896867,0.880845,0.856839,0.793011,0.735381,0.735381,0.735381,0.735381,0.326698
378,20.48,40,10,none,7.5,400,4745,11.8625,302,277,0.917219,0.91126,0.872695,0.851841,0.824771,0.752593,0.698205,0.698205,0.698205,0.698205,0.326641
