SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
12,9.728,19,10,none,7.5,400,4778,11.945,244,225,0.922131,0.90098,0.858845,0.829649,0.802193,0.753585,0.695285,0.695285,0.695285,0.695285,0.405778
13,9.216,18,10,none,7.5,400,4867,12.1675,229,200,0.873362,0.848066,0.827442,0.820534,0.801749,0.761825,0.701327,0.701327,0.701327,0.701327,0.403965
14,8.704,17,10,none,7.5,400,5040,12.6,266,245,0.921053,0.86941,0.854682,0.839469,0.816882,0.780867,0.710419,0.710419,0.710419,0.710419,0.402675
15,8.192,16,10,none,7.5,400,5109,12.7725,247,223,0.902834,0.870792,0.846087,0.832615,0.817105,0.782609,0.713946,0.713946,0.713946,0.713946,0.40156
16,10.752,21,10,none,7.5,400,4013,10.0325,242,204,0.842975,0.760714,0.712975,0.685501,0.653861,0.617725,0.558169,0.558169,0.558169,0.558169,0.45473
17,24.576,48,10,none,7.5,400,4789,11.9725,249,222,0.891566,0.854724,0.811159,0.784976,0.764237,0.724298,0.660547,0.660547,0.660547,0.660547,0.449073
18,18.432,36,10,none,7.5,400,4781,11.9525,322,288,0.89441,0.854244,0.813322,0.779262,0.756107,0.718123,0.658809,0.658809,0.658809,0.658809,0.442864
19,18.432,36,10,none,7.5,400,4797,11.9925,317,280,0.883281,0.842058,0.805471,0.780657,0.757724,0.716823,0.655686,0.655686,0.655686,0.655686,0.437281
20,18.432,36,10,none,7.5,400,4969,12.4225,308,283,0.918831,0.83434,0.810209,0.781837,0.765634,0.727705,0.675003,0.675003,0.675003,0.675003,0.432112
21,18.432,36,10,none,7.5,400,5315,13.2875,312,286,0.916667,0.905009,0.884197,0.845617,0.829862,0.773425,0.708722,0.708722,0.708722,0.708722,0.427404
22,18.432,36,10,none,7.5,400,4999,12.4975,332,302,0.909639,0.862563,0.817366,0.781809,0.754095,0.717223,0.657413,0.657413,0.657413,0.657413,0.423053
23,18.432,36,10,none,7.5,400,5250,13.125,346,321,0.927746,0.865293,0.824783,0.80533,0.778235,0.738713,0.682043,0.682043,0.682043,0.682043,0.418992
24,18.432,36,10,none,7.5,400,5344,13.36,417,380,0.911271,0.89259,0.85229,0.814843,0.783291,0.744855,0.690636,0.690636,0.690636,0.690636,0.415257
25,18.432,36,10,none,7.5,400,5121,12.8025,380,346,0.910526,0.849877,0.809157,0.777693,0.742599,0.708979,0.653974,0.653974,0.653974,0.653974,0.411836
