SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
90,16.384,32,10,none,7.5,400,5332,13.33,372,336,0.903226,0.837335,0.814322,0.793623,0.778485,0.749849,0.7015,0.7015,0.7015,0.7015,0.458916
91,19.456,38,10,none,7.5,400,5206,13.015,367,325,0.885559,0.831202,0.795513,0.777051,0.758385,0.725537,0.684508,0.684508,0.684508,0.684508,0.458717
92,18.944,37,10,none,7.5,400,5118,12.795,376,331,0.880319,0.797297,0.768952,0.758559,0.739678,0.713671,0.667972,0.667972,0.667972,0.667972,0.457755
93,20.48,40,10,none,7.5,400,5225,13.0625,396,346,0.873737,0.818859,0.781527,0.758389,0.743922,0.719699,0.683543,0.683543,0.683543,0.683543,0.457665
94,19.968,39,10,none,7.5,400,5003,12.5075,447,394,0.881432,0.828321,0.779024,0.75431,0.724822,0.68898,0.650742,0.650742,0.650742,0.650742,0.457776
95,20.48,40,10,none,7.5,400,4798,11.995,404,363,0.898515,0.800254,0.742095,0.717902,0.695235,0.655643,0.619928,0.619928,0.619928,0.619928,0.45798
96,20.48,40,10,none,7.5,400,5117,12.7925,474,430,0.907173,0.809832,0.765929,0.744532,0.736091,0.694664,0.656186,0.656186,0.656186,0.656186,0.457101
97,20.48,40,10,none,7.5,400,5141,12.8525,470,409,0.870213,0.806516,0.769697,0.753231,0.730579,0.69509,0.655947,0.655947,0.655947,0.655947,0.45624
98,20.48,40,10,none,7.5,400,4979,12.4475,442,394,0.891403,0.820667,0.778358,0.753535,0.718517,0.678054,0.631692,0.631692,0.631692,0.631692,0.457267
99,20.48,40,10,none,7.5,400,5380,13.45,370,348,0.940541,0.851286,0.808219,0.788993,0.758572,0.730477,0.681231,0.681231,0.681231,0.681231,0.45861
100,20.48,40,10,none,7.5,400,5217,13.0425,303,280,0.924092,0.848551,0.799023,0.771507,0.740786,0.710472,0.660253,0.660253,0.660253,0.660253,0.458426
101,20.48,40,10,none,7.5,400,5161,12.9025,272,251,0.922794,0.850584,0.81283,0.779275,0.742494,0.706899,0.656107,0.656107,0.656107,0.656107,0.458297
102,19.456,38,10,none,7.5,400,5147,12.8675,292,264,0.90411,0.848649,0.821497,0.779053,0.749685,0.707542,0.665072,0.665072,0.665072,0.665072,0.457699
103,18.432,36,10,none,7.5,400,4650,11.625,310,265,0.854839,0.767974,0.729159,0.709605,0.676842,0.634699,0.601267,0.601267,0.601267,0.601267,0.457748
104,18.432,36,10,none,7.5,400,5064,12.66,322,285,0.885093,0.824936,0.790079,0.762712,0.735337,0.691789,0.655021,0.655021,0.655021,0.655021,0.456878
