SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
127,18.432,36,10,none,7.5,400,0,0,162,0,0,0,0,0,0,0,0,0,0,0,1201.11
128,17.92,35,10,none,7.5,400,0,0,178,0,0,0,0,0,0,0,0,0,0,0,1188.84
129,16.896,33,10,none,7.5,400,0,0,198,0,0,0,0,0,0,0,0,0,0,0,1173.04
130,17.408,34,10,none,7.5,400,0,0,190,0,0,0,0,0,0,0,0,0,0,0,1157.92
131,18.432,36,10,none,7.5,400,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1145.61
132,16.896,33,10,none,7.5,400,0,0,292,0,0,0,0,0,0,0,0,0,0,0,1132.14
133,16.384,32,10,none,7.5,400,0,0,326,0,0,0,0,0,0,0,0,0,0,0,1121.21
134,16.384,32,10,none,7.5,400,0,0,361,0,0,0,0,0,0,0,0,0,0,0,1110.36
135,16.384,32,10,none,7.5,400,0,0,320,0,0,0,0,0,0,0,0,0,0,0,1099.04
136,17.92,35,10,none,7.5,400,0,0,288,0,0,0,0,0,0,0,0,0,0,0,1063.19
137,18.432,36,10,none,7.5,400,0,0,246,0,0,0,0,0,0,0,0,0,0,0,1055.75
138,17.408,34,10,none,7.5,400,0,0,240,0,0,0,0,0,0,0,0,0,0,0,1034.48
139,18.432,36,10,none,7.5,400,0,0,212,0,0,0,0,0,0,0,0,0,0,0,1028.17
140,18.432,36,10,none,7.5,400,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1021.94
141,18.944,37,10,none,7.5,400,0,0,222,0,0,0,0,0,0,0,0,0,0,0,1016.51
142,18.944,37,10,none,7.5,400,0,0,276,0,0,0,0,0,0,0,0,0,0,0,1010.91
143,18.944,37,10,none,7.5,400,0,0,270,0,0,0,0,0,0,0,0,0,0,0,1000.97
144,17.408,34,10,none,7.5,400,0,0,258,0,0,0,0,0,0,0,0,0,0,0,993.848
145,18.432,36,10,none,7.5,400,0,0,286,0,0,0,0,0,0,0,0,0,0,0,985.309
146,19.456,38,10,none,7.5,400,0,0,308,0,0,0,0,0,0,0,0,0,0,0,980.469
147,19.968,39,10,none,7.5,400,0,0,338,0,0,0,0,0,0,0,0,0,0,0,976.821
148,17.92,35,10,none,7.5,400,0,0,326,0,0,0,0,0,0,0,0,0,0,0,970.739
149,18.944,37,10,none,7.5,400,0,0,346,0,0,0,0,0,0,0,0,0,0,0,963.531
150,20.992,41,10,none,7.5,400,0,0,312,0,0,0,0,0,0,0,0,0,0,0,958.769
151,20.48,40,10,none,7.5,400,0,0,280,0,0,0,0,0,0,0,0,0,0,0,954.096
152,19.968,39,10,none,7.5,400,0,0,306,0,0,0,0,0,0,0,0,0,0,0,950.857
153,20.992,41,10,none,7.5,400,0,0,274,0,0,0,0,0,0,0,0,0,0,0,948.013
154,20.48,40,10,none,7.5,400,0,0,296,0,0,0,0,0,0,0,0,0,0,0,945.413
155,20.48,40,10,none,7.5,400,0,0,286,0,0,0,0,0,0,0,0,0,0,0,943.059
156,20.48,40,10,none,7.5,400,0,0,300,0,0,0,0,0,0,0,0,0,0,0,940.427
157,20.48,40,10,none,7.5,400,0,0,259,0,0,0,0,0,0,0,0,0,0,0,937.617
158,20.48,40,10,none,7.5,400,0,0,244,0,0,0,0,0,0,0,0,0,0,0,935.112
159,20.48,40,10,none,7.5,400,0,0,252,0,0,0,0,0,0,0,0,0,0,0,932.558
160,20.48,40,10,none,7.5,400,0,0,280,0,0,0,0,0,0,0,0,0,0,0,929.51
161,20.48,40,10,none,7.5,400,0,0,326,0,0,0,0,0,0,0,0,0,0,0,925.328
162,18.432,36,10,none,7.5,400,0,0,336,0,0,0,0,0,0,0,0,0,0,0,918.255
163,19.968,39,10,none,7.5,400,0,0,304,0,0,0,0,0,0,0,0,0,0,0,911.463
164,19.968,39,10,none,7.5,400,0,0,332,0,0,0,0,0,0,0,0,0,0,0,906.105
165,20.48,40,10,none,7.5,400,0,0,351,0,0,0,0,0,0,0,0,0,0,0,901.78
166,20.48,40,10,none,7.5,400,0,0,336,0,0,0,0,0,0,0,0,0,0,0,899.201
167,20.48,40,10,none,7.5,400,0,0,334,0,0,0,0,0,0,0,0,0,0,0,896.645
168,20.48,40,10,none,7.5,400,0,0,311,0,0,0,0,0,0,0,0,0,0,0,894.346
169,20.48,40,10,none,7.5,400,0,0,314,0,0,0,0,0,0,0,0,0,0,0,891.013
170,20.48,40,10,none,7.5,400,0,0,268,0,0,0,0,0,0,0,0,0,0,0,888.937
171,20.48,40,10,none,7.5,400,0,0,261,0,0,0,0,0,0,0,0,0,0,0,885.942
172,20.48,40,10,none,7.5,400,0,0,238,0,0,0,0,0,0,0,0,0,0,0,883.917
173,20.48,40,10,none,7.5,400,0,0,236,0,0,0,0,0,0,0,0,0,0,0,881.8
174,20.48,40,10,none,7.5,400,0,0,240,0,0,0,0,0,0,0,0,0,0,0,879.55
175,19.456,38,10,none,7.5,400,0,0,270,0,0,0,0,0,0,0,0,0,0,0,874.925
176,20.48,40,10,none,7.5,400,0,0,258,0,0,0,0,0,0,0,0,0,0,0,871.68
177,20.48,40,10,none,7.5,400,0,0,246,0,0,0,0,0,0,0,0,0,0,0,869.646
178,20.48,40,10,none,7.5,400,0,0,258,0,0,0,0,0,0,0,0,0,0,0,867.706
179,20.48,40,10,none,7.5,400,0,0,224,0,0,0,0,0,0,0,0,0,0,0,865.693
180,20.48,40,10,none,7.5,400,0,0,252,0,0,0,0,0,0,0,0,0,0,0,863.743
181,20.48,40,10,none,7.5,400,0,0,260,0,0,0,0,0,0,0,0,0,0,0,860.76
182,20.48,40,10,none,7.5,400,0,0,194,0,0,0,0,0,0,0,0,0,0,0,858.779
183,20.48,40,10,none,7.5,400,0,0,172,0,0,0,0,0,0,0,0,0,0,0,856.913
184,20.48,40,10,none,7.5,400,0,0,196,0,0,0,0,0,0,0,0,0,0,0,854.947
185,20.48,40,10,none,7.5,400,0,0,246,0,0,0,0,0,0,0,0,0,0,0,852.78
186,19.456,38,10,none,7.5,400,0,0,278,0,0,0,0,0,0,0,0,0,0,0,849.567
187,18.432,36,10,none,7.5,400,0,0,286,0,0,0,0,0,0,0,0,0,0,0,845.243
188,18.432,36,10,none,7.5,400,0,0,273,0,0,0,0,0,0,0,0,0,0,0,840.91
189,18.432,36,10,none,7.5,400,0,0,278,0,0,0,0,0,0,0,0,0,0,0,836.575
190,18.432,36,10,none,7.5,400,0,0,268,0,0,0,0,0,0,0,0,0,0,0,831.823
191,16.896,33,10,none,7.5,400,0,0,270,0,0,0,0,0,0,0,0,0,0,0,825.287
192,17.92,35,10,none,7.5,400,0,0,264,0,0,0,0,0,0,0,0,0,0,0,820.014
193,20.48,40,10,none,7.5,400,0,0,278,0,0,0,0,0,0,0,0,0,0,0,817.712
